"Frecuency R","Frecuency G","Frecuency B","Class(p0)","Class(p1)"
1,-0.00156985871271587,0.413333333333333,1,-1
0.985714285714286,-0.00784929356357933,0.36,1,-1
0.985714285714286,-0.0204081632653061,0.413333333333333,1,-1
0.992857142857143,-0.0204081632653061,0.413333333333333,1,-1
0.935714285714286,0.00784929356357922,0.395555555555556,1,-1
0.328571428571429,-0.390894819466248,-0.44,1,-1
0.328571428571429,-0.390894819466248,-0.386666666666667,1,-1
0.335714285714286,-0.387755102040816,-0.377777777777778,1,-1
0.328571428571429,-0.387755102040816,-0.386666666666667,1,-1
0.328571428571429,-0.387755102040816,-0.386666666666667,1,-1
0.342857142857143,-0.620094191522763,-0.76,1,-1
-0.05,-0.516483516483516,-0.68,1,-1
0.2,-0.296703296703297,-0.36,1,-1
0.835714285714286,-0.0266875981161695,0.28,1,-1
0.842857142857143,-0.00784929356357933,0.368888888888889,1,-1
0.907142857142857,-0.010989010989011,0.297777777777778,1,-1
0.9,0.00784929356357922,0.351111111111111,1,-1
-0.15,-0.67032967032967,-0.902222222222222,1,-1
-0.257142857142857,-0.698587127158556,-0.937777777777778,1,-1
-0.257142857142857,-0.679748822605965,-0.946666666666667,1,-1
-0.264285714285714,-0.679748822605965,-0.946666666666667,1,-1
0.0357142857142858,-0.510204081632653,-0.653333333333333,1,-1
0.0357142857142858,-0.472527472527473,-0.555555555555556,1,-1
0.5,-0.237048665620094,-0.146666666666667,1,-1
0.292857142857143,-0.397174254317112,-0.413333333333333,1,-1
-0.0428571428571428,-0.557299843014129,-0.733333333333333,1,-1
0.407142857142857,1,1,1,-1
0.4,-0.343799058084772,-0.306666666666667,1,-1
0.192857142857143,-0.459968602825746,-0.528888888888889,1,-1
-0.135714285714286,-0.601255886970173,-0.857777777777778,1,-1
-0.0428571428571428,-0.434850863422292,-0.511111111111111,1,-1
0.892857142857143,-0.215070643642072,-0.164444444444444,1,-1
-0.05,-0.667189952904239,-0.955555555555556,1,-1
0.142857142857143,-0.485086342229199,-0.6,1,-1
0.1,-0.491365777080063,-0.582222222222222,1,-1
0.557142857142857,-0.208791208791209,-0.0755555555555556,1,-1
-0.235714285714286,-0.459968602825746,-0.608888888888889,1,-1
0.192857142857143,-0.259026687598116,-0.146666666666667,1,-1
-0.221428571428571,-0.67032967032967,-0.884444444444444,1,-1
0.221428571428572,-0.290423861852433,-0.368888888888889,1,-1
0.442857142857143,-0.299843014128728,-0.413333333333333,1,-1
-0.0571428571428572,-0.510204081632653,-0.457777777777778,1,-1
0.242857142857143,-0.478806907378336,-0.644444444444444,1,-1
-0.157142857142857,-0.667189952904239,-0.911111111111111,1,-1
0.257142857142857,-0.368916797488226,-0.395555555555556,1,-1
0.0857142857142856,-0.544740973312402,-0.822222222222222,1,-1
-0.0928571428571429,-0.654631083202512,-0.884444444444444,1,-1
-0.192857142857143,-0.654631083202512,-0.884444444444444,1,-1
0.407142857142857,-0.290423861852433,-0.244444444444444,1,-1
0.314285714285714,-0.381475667189953,-0.431111111111111,1,-1
-1,-0.98116169544741,-0.946666666666667,-1,1
-1,-1,-0.955555555555556,-1,1
-1,-0.98116169544741,-1,-1,1
-1,-0.996860282574568,-0.946666666666667,-1,1
-1,-0.978021978021978,-1,-1,1
-1,-1,-0.946666666666667,-1,1
-0.871428571428571,-0.811616954474097,-0.484444444444444,-1,1
-0.878571428571429,-0.811616954474097,-0.537777777777778,-1,1
-0.878571428571429,-0.830455259026688,-0.475555555555556,-1,1
-0.878571428571429,-0.814756671899529,-0.475555555555556,-1,1
-0.878571428571429,-0.814756671899529,-0.475555555555556,-1,1
-0.878571428571429,-0.811616954474097,-0.484444444444444,-1,1
-0.742857142857143,-0.645211930926217,-0.0222222222222223,-1,1
-0.735714285714286,-0.645211930926217,-0.0222222222222223,-1,1
-0.728571428571429,-0.645211930926217,-0.0311111111111111,-1,1
-0.742857142857143,-0.645211930926217,-0.0755555555555556,-1,1
-0.742857142857143,-0.645211930926217,-0.0311111111111111,-1,1
-0.671428571428571,-0.507064364207221,0.342222222222222,-1,1
-0.621428571428571,-0.52276295133438,0.342222222222222,-1,1
-0.614285714285714,-0.525902668759812,0.288888888888889,-1,1
-0.621428571428571,-0.507064364207221,0.342222222222222,-1,1
-0.614285714285714,-0.510204081632653,0.342222222222222,-1,1
-0.614285714285714,-0.507064364207221,0.333333333333333,-1,1
-0.892857142857143,-0.811616954474097,-0.44,-1,1
-0.864285714285714,-0.814756671899529,-0.466666666666667,-1,1
-0.764285714285714,-0.899529042386185,0.164444444444444,-1,1
-0.935714285714286,-0.883830455259027,-0.742222222222222,-1,1
-0.885714285714286,-0.849293563579278,-0.591111111111111,-1,1
-0.864285714285714,-0.830455259026688,-0.475555555555556,-1,1
-0.95,-0.921507064364207,-0.777777777777778,-1,1
-0.95,-0.921507064364207,-0.777777777777778,-1,1
-0.957142857142857,-0.940345368916798,-0.777777777777778,-1,1
-0.957142857142857,-0.921507064364207,-0.777777777777778,-1,1
-0.957142857142857,-0.912087912087912,-0.546666666666667,-1,1
-0.907142857142857,-0.855572998430141,-0.608888888888889,-1,1
-0.564285714285714,-0.444270015698587,0.44,-1,1
-0.564285714285714,-0.453689167974882,0.475555555555556,-1,1
-0.564285714285714,-0.459968602825746,0.44,-1,1
-0.564285714285714,-0.456828885400314,0.466666666666667,-1,1
-0.571428571428571,-0.456828885400314,0.457777777777778,-1,1
-0.571428571428571,-0.459968602825746,0.457777777777778,-1,1
-0.571428571428571,-0.478806907378336,0.457777777777778,-1,1
